CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
QUIMICA (CBC) DI RISSIO,,,Miércoles,7:00,16:00,2,207,,,,23,QUIMICA (CBC) DI RISSIO
Complejidad Computacional/LyC,,,Miércoles,17:00,22:00,2,207,DC,Abriola,,29,Complejidad Computacional/Lógica y Computabilidad/Teoría de la Complejidad Computacional
"Carrera de Seguridad en el Ámb,Laboral",5/11/2025,,Miércoles,14:00,20:00,2,212,,,,38,Carrera de Seguridad en el Ámbito Laboral
Semana de los profesorados ,12/11/2025,,Miércoles,10:00,13:00,2,212,,,,27,Semana de los profesorados 2/4
"Didáctica Esp.y Práctica de la Ens,II",,,Miércoles,17:00,21:00,2,212,CCPEMS,Ithuralde,,37,Didáctica Especial y Práctica de la Enseñanza II
Ecología de Poblaciones,,,Miércoles,9:00,14:00,2,Sala A,EGE,Cardinal,,23,Ecología de Poblaciones/Tópicos Avanzados en Ecología de Poblaciones
Limnología ,,,Miércoles,14:00,17:00,2,Sala A,EGE,,,11,Limnología 
Ecología de Regiones y Paisajes,,,Miércoles,17:00,21:00,2,Sala A,EGE,Torrella,,31,Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones
Paleo y Neoclima,,,Miércoles,10:00,13:00,2,Sala B,DCAO,Blanco,,16,Paleo y Neoclima
Introducción a la Ingeniería de Costas,,,Miércoles,14:00,18:00,2,Sala B,DCAO,Alonso/Salimberti,,38,Introducción a la Ingeniería de Costas
Ingeniería Genética,,,Miércoles,18:00,22:00,2,Sala B,FBMC,,,19,Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares
Nomenclatura Zoológica,05/11/2025-12/11/2025,,Miércoles,9:00,17:30,2,SEMINARIO,,,,22,Nomenclatura Zoológica
Fund.Lenguajes para Computación Cuántica,19/11/2025,,Miércoles,14:00,18:00,2,SEMINARIO,,,,40,Fundamentos de Lenguajes para Computación Cuántica
Entomología,3/12/2025,,Miércoles,9:00,13:00,2,SEMINARIO,,Castelo,,,
Congreso Cierre DOV,05/11/2025,,Miércoles,9:00,13:00,2,Magna,,,,19,Congreso Cierre DOV
Ecología General,,,Miércoles,15:00,17:30,2,Magna,EGE,Busch,,16,Ecología General
"Int,a la Botánica",,,Miércoles,18:00,21:00,2,Magna,BBE,Baroli,,17,Introducción a la Botánica/Biodiversidad de Vegetales
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,101,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,13:00,15:00,2,101,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Miércoles,15:00,17:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Miércoles,7:00,10:00,2,102,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,10:00,13:00,2,102,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,13:00,15:00,2,102,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,15:00,17:00,2,102,CBC,,,,
