CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Bromatología,,,Martes,17:30,21:30,2,111,QO,Amiano/Schebor,,12,Bromatología
Invertebrados II 2023 ,,,Martes,14:30,17:00,2,116,BBE,Mougaubure,,22,Invertebrados II 2023 
Química Analítica ,,,Martes,18:00,21:00,2,116,QI,Antontel/Battaglini,,18,Química Analítica 
Procesos Atmosféricos en Pequeña Escala ,,,Martes,8:00,13:00,2,117,DCAO,Gassmann/Burek,,40,Procesos Atmosféricos en Pequeña Escala 
Modelos Numéricos ,,,Martes,14:00,19:00,2,117,DCAO,Moreira/Dinapoli,,18,Modelos Numéricos 
Análisis Instrumental ,,T1,Martes,8:30,12:30,2,203,QO,Cabrera/Etchenique,hasta 28/11/2025,22,Análisis Instrumental 
Análisis Instrumental ,,,Martes,13:30,17:30,2,203,QO,Cabrera/Etchenique,hasta 28/11/2025,22,Análisis Instrumental 
Análisis Instrumental ,,,Martes,18:00,20:00,2,203,QO,Cabrera/Etchenique,hasta 28/11/2025,22,Análisis Instrumental 
Álgebra Lineal ,,,Martes,9:00,14:00,2,207,DM,Solerno/Busolini,,15,Álgebra Lineal 
Análisis Avanzado ,,TN,Martes,17:00,21:30,2,207,DM,Di Ioro/Herrera,,18,Análisis Avanzado 
Carrera de Seguridad en el Ámb. Laboral,4/11/2025,,Martes,14:00,20:00,2,212,,,,39,Carrera de Seguridad en el Ámbito Laboral
Redaccion Cientifica,11/11/2025,,Martes,9:00,18:00,2,212,,Crespo,,,
Seqigen,18/11/2025,,Martes,13:00,15:00,2,212,,Daraio,,,
Sistemática Teórica/Análisis Cladístico,,,Martes,9:00,13:00,2,Sala A,EGE,Gottlieb,,39,Sistemática Teórica/Análisis Cladístico
Biología de la Conservación,4/11/2025-11/11/2025-18/11/2025,,Martes,17:00,20:00,2,Sala A,EGE,Paris,,27,Biología de la Conservación/Conservación de la Biodiversidad
Geología Regional,,,Martes,17:00,20:00,2,Sala B,DCG,,,17,Geología Regional
Nomenclatura Zoológica,04/11/2025-11/11/2025,,Martes,9:00,17:30,2,SEMINARIO,,,,22,Nomenclatura Zoológica
Fund.Lenguajes para Computación Cuántica,18/11/2025-25/11/2025,,Martes,14:00,17:00,2,SEMINARIO,,,,40,Fundamentos de Lenguajes para Computación Cuántica
Entomología,2/12/2025,,Martes,9:00,13:00,2,SEMINARIO,,Castelo,,,
Programa de Historia,,,Martes,17:00,22:00,2,SEMINARIO,,,,20,Programa de Historia
Int.a la Biología Molecular y Celular,NO18/11/2025,,Martes,9:30,12:30,2,Magna,FBMC,Colman,,37,Introducción a la Biología Molecular y Celular/Int.a la Biología Molecular para Paleontólogos 
CBC (Álgebra),04/11/2025,,Martes,14:00,17:00,2,Magna,,Kuna,,,
Física 1,18/11/2025,,Martes,9:00,14:00,2,Magna,,,,,
Química Biológica ,,,Martes,18:30,21:00,2,Magna,QB,Santos,,18,Química Biológica 
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,7:00,10:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,10:00,13:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,14:00,17:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,17:00,20:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,20:00,23:00,2,101,CBC,,,,
(CBC)-QUIMICA-(05),,IDOYAGA,Martes,7:00,10:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,10:00,13:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,13:00,16:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,17:00,20:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,7:00,10:00,2,103,CBC,,,,
(CBC)-QUIMICA-(05),,IDOYAGA,Martes,10:00,13:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,13:00,15:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,15:00,17:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,17:00,19:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,19:00,21:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Martes,7:00,9:00,2,104,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,9:00,11:00,2,104,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,11:00,13:00,2,104,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,14:00,17:00,2,104,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,17:00,20:00,2,104,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Martes,7:00,9:00,2,107,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Martes,9:00,11:00,2,107,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Martes,11:00,13:00,2,107,CBC,,,,
(CBC)-FILOSOFIA,,CASTRO,Martes,13:00,15:00,2,107,CBC,,,,
(CBC)-FILOSOFIA,,CASTRO,Martes,15:00,17:00,2,107,CBC,,,,
(CBC)-BIOLOGIA E INTRODUCCIÓN A LA BIOLOGIA CELULAR (54),,TODARO,Martes,17:00,20:00,2,107,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,7:00,9:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,11:00,13:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,13:00,15:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,15:00,17:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,7:00,9:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,9:00,11:00,2,109,CBC,,,,
(CBC)-TRABAJO Y SOCIEDAD,,CAGNACCI,Martes,11:00,13:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,13:00,15:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,15:00,17:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,17:00,19:00,2,109,CBC,,,,
(CBC)-MATEMATICA 9h (61),,UNICA,Martes,10:00,13:00,2,110,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,14:00,17:00,2,110,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,7:00,10:00,2,111,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,10:00,13:00,2,111,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,14:00,17:00,2,111,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,17:00,20:00,2,111,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,7:00,10:00,2,113,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,10:00,13:00,2,113,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,13:00,16:00,2,113,CBC,,,,
(CBC)-FISICA-(03),,UNICA,Martes,17:00,20:00,2,113,CBC,,,,
(CBC)-ALGEBRA (27),,UNICA,Martes,20:00,23:00,2,113,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,7:00,9:00,2,205,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,9:00,11:00,2,205,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Martes,11:00,13:00,2,205,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,13:00,15:00,2,205,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,15:00,17:00,2,205,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,17:00,19:00,2,205,CBC,,,,
