CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,,,,
Ecología de Regiones y Paisajes,,,Viernes,14:00,16:00,2,114,EGE,Cavia,,31,Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,2,115,,,,26,Semana de los profesorados
Fisiología Fúngica,,,Viernes,14:00,16:30,2,115,BBE,Iannone,,18,Fisiología Fúngica/Fisiología y Biotecnología Fúngica
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,0,116,,,,26,Semana de los profesorados
Física 3,,,Viernes,10:00,15:00,2,117,DF,Bejarano,,8,Física 3
Paleobiología,,,Viernes,15:00,20:00,2,117,EGE,Laprida,,13,Paleobiología
Física 1 (FISI870007),,TA,Viernes,9:00,14:00,2,203,DF,Otero y Garzón/Grinberg,,21,Física 1 (FISI870007)
Análisis Instrumental ,,T3,Viernes,18:00,22:00,2,203,QO,Cabrera/Etchenique,,22,Análisis Instrumental 
Álgebra Lineal,,,Viernes,9:00,14:00,2,207,DM,Solerno/Busolini,,14,Álgebra Lineal
Carrera de Seguridad en el Ámbito Laboral,7/11/2025,,viernes,14:00,20:00,2,212,,,,41,Carrera de Seguridad en el Ámbito Laboral
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,2,212,,,,26,Semana de los profesorados
Sistemática Teórica/Análisis Cladístico,,,Viernes,9:00,13:00,2,Sala A,EGE,Gottlieb,,39,Sistemática Teórica/Análisis Cladístico
Ecología de Regiones y Paisajes,,,Viernes,17:00,21:00,2,Sala A,EGE,Torrella,,31,Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones
Oceanografía Satelital,,,Viernes,9:00,13:00,2,Sala B,DCAO,Romero/Dávila,,22,Oceanografía Satelital/Teledetección Satelital y Aplicaciones Oceanográficas
Geología Regional,,,Viernes,17:00,20:00,2,Sala B,,,,17,Geología Regional
Concurso de Seguridad,24/10/2025,,Viernes,9:00,13:00,2,SEMINARIO,,,,,
Nomenclatura Zoológica,07/11/2025-14/11/2025,,Viernes,9:00,17:30,2,SEMINARIO,,,,22,Nomenclatura Zoológica
Fund.Lenguajes para Computación Cuántica,21/11/2025,,Viernes,14:00,18:00,2,SEMINARIO,,,,40,Fundamentos de Lenguajes para Computación Cuántica
Entomología,5/12/2025,,Viernes,9:00,13:00,2,SEMINARIO,,Castelo,,,
Concurso DM,24/10/2025,,Viernes,10:00,12:00,2,Magna,,,,11,Concurso DM
Ecología General,,,Viernes,15:00,17:30,2,Magna,EGE,Busch,,16,Ecología General
Introducción a la Botánica,,,Viernes,18:00,21:00,2,Magna,BBE,Baroli,,26,Introducción a la Botánica/Biodiversidad de Vegetales
ROUNA,28/11/2025,,Viernes,9:00,16:00,2,Magna,,,,5,ROUNA
(CBC)-INTROD. AL PENSAMIENTO COMPUTACIONAL,,MOCSKOS - OJEA,Viernes,7:00,11:00,0,1105,CBC,,,,
(CBC)-INTROD. AL PENSAMIENTO COMPUTACIONAL,,MOCSKOS - OJEA,Viernes,7:00,11:00,0,1106,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,7:00,10:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,10:00,13:00,2,101,CBC,,,,
