CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Cálculo Numérico/ECN,,,Lunes,19:00,21:00,2,12,DM,Etcheverry/Pedersen,,20,Cálculo Numérico/Elementos de Cálculo numérico 
Didáctica Esp.y Práctica de la Ens.II ,,,Lunes,10:00,16:00,2,15,CCPEMS,Cambriglia,,38,Didáctica Especial y Práctica de la Enseñanza II 
Psicología y Aprendizaje ,,,Lunes,18:00,20:00,2,15,CCPEMS,Acevedo,,25,Psicología y Aprendizaje 
Química Inorgánica 1 ,,T1,Lunes,9:00,11:00,2,111,QI,Di Salvo,,21,Química Inorgánica 1 
Química Inorgánica 2 ,,T1,Lunes,13:00,17:00,2,111,QI,Baraldo,,21,Química Inorgánica 2 
Química Inorgánica 2 ,,T2,Lunes,18:00,22:00,2,111,QI,Baraldo,,21,Química Inorgánica 2 
Histología Animal,,,Lunes,14:00,16:00,2,112,BBE,Hermida,,17,Histología Animal/De los Tejidos a la Organografía Animal Organografía Microscópica de Vertebrados/Morfología Funcional de los Tejidos Animales 
Int.a la Ingeniería de Costas ,,,Lunes,14:00,18:00,2,113,DCAO,Alonso/Salimberti,,30,Introducción a la Ingeniería de Costas 
Instrumentos y Métodos de Obs.Ocean.,,,Lunes,8:00,13:00,2,114,DCAO,Danieli/Cornejo,,36,Instrumentos y Métodos de Observación Oceanográficos 
Sistemática de Plantas Vasculares,,,Lunes,15:00,17:00,2,115,BBE,Iannone,,33,Sistemática de Plantas Vasculares/Tópicos en Sistemática de Plantas Vasculares 
Genética y Ecología Molecular,,,Lunes,17:30,20:00,2,115,EGE,Confalonieri,,29,Genética y Ecología Molecular/Genética y Ecología Molecular I 
Paleo y Neoclima ,,,Lunes,8:00,10:00,2,116,DCAO,Doyle,,17,Paleo y Neoclima 
CBC (MATEMATICA),10/11/2025,,Lunes,12:00,14:00,2,203,,,,,
Redaccion Cientifica,10/11/2025,,Lunes,9:00,18:00,2,212,,Crespo,,,
Ecología de Poblaciones,,,Lunes,9:00,14:00,2,Sala A,EGE,Cardinal,,23,Ecología de Poblaciones/Tópicos Avanzados en Ecología de Poblaciones 
Genética y Ecología Molecular,,,Lunes,14:00,17:00,2,Sala A,EGE,Confalonieri,,29,Genética y Ecología Molecular/Genética y Ecología Molecular I 
Paleo y Neoclima ,,,Lunes,10:00,13:00,2,Sala B,DCAO,Blanco,,17,Paleo y Neoclima 
Ecología de Paísajes y Regiones,,,Lunes,14:00,21:00,2,Sala B,,,,31,Ecología de Paísajes y Regiones
Nomenclatura Zoológica,10/11/2025,,Lunes,9:00,17:30,2,SEMINARIO,,,,22,Nomenclatura Zoológica
Fund.de Lenguajes para Comp.Cuántica,17/11/2025,,Lunes,14:00,18:00,2,SEMINARIO,,,,36,Fundamentos de Lenguajes para Computación Cuántica
Entomología,1/12/2025,,Lunes,9:00,13:00,2,SEMINARIO,,Castelo,,,
Química Inorgánica 1 ,,T2,Lunes,18:00,20:00,2,SEMINARIO,QI,Albores,,21,Química Inorgánica 1 
Charla de Saenz de Cabezon ,10/11/2025,,Lunes,13:00,17:00,2,Magna,,Krick,,27,Charla Charla de Eduardo Saenz de Cabezon (Teresa Krick)
Honoris Causa,10/11/2025,,Lunes,17:00,20:00,2,Magna,,,,,
Semana de la Biotecnología,17/11/2025,,Lunes,9:00,13:00,2,Magna,,,,26,
(CBC)-BIOLOGIA-(08),,VALERANI,Lunes,13:00,16:00,2,113,CBC,,,,
(CBC)-BIOLOGIA-(08),,VALERANI,Lunes,17:00,20:00,2,113,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Lunes,20:00,23:00,2,113,CBC,,,,
(CBC)-BIOLOGIA-(08),,VALERANI,Lunes,10:00,13:00,2,205,CBC,,,,
(CBC)-MATEMATICA (51),,ROSSOMANDO,Lunes,14:00,17:00,2,205,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Lunes,7:00,10:00,2,206,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,10:00,13:00,2,206,CBC,,,,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Lunes,14:00,17:00,2,206,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,17:00,20:00,2,206,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,20:00,23:00,2,206,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Lunes,7:00,9:00,2,208,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Lunes,9:00,11:00,2,208,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Lunes,11:00,13:00,2,208,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Lunes,13:00,15:00,2,208,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Lunes,15:00,17:00,2,208,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Lunes,17:00,19:00,2,208,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,10:00,13:00,2,210,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Lunes,13:00,15:00,2,210,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Lunes,15:00,17:00,2,210,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Lunes,17:00,19:00,2,210,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Lunes,19:00,21:00,2,210,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Lunes,21:00,23:00,2,210,CBC,,,,
(CBC)-SOCIOLOGIA,,DELICH,Lunes,7:00,9:00,2,211,CBC,,,,
(CBC)-SOCIOLOGIA,,DELICH,Lunes,9:00,11:00,2,211,CBC,,,,
(CBC)-SOCIOLOGIA,,GAMALLO,Lunes,11:00,13:00,2,211,CBC,,,,
(CBC)-SOCIOLOGIA,,GAMALLO,Lunes,13:00,15:00,2,211,CBC,,,,
